fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_loefflerk,results_warnockr,results_collinsd,results_taylork,results_jacksond,results_graysond,results_jamesj,results_liebermanm,results_johnsonw,results_johnson_shealeyt,results_jacksona,results_sladej,results_winfieldr,results_slowinskib,results_buckleya,results_bartella,results_fortuinj,results_greenem,results_tarvere,results_stovallv,results_write_ins,results_absentee_loefflerk,results_absentee_warnockr,results_absentee_collinsd,results_absentee_taylork,results_absentee_jacksond,results_absentee_graysond,results_absentee_jamesj,results_absentee_liebermanm,results_absentee_johnsonw,results_absentee_johnson_shealeyt,results_absentee_jacksona,results_absentee_sladej,results_absentee_winfieldr,results_absentee_slowinskib,results_absentee_buckleya,results_absentee_bartella,results_absentee_fortuinj,results_absentee_greenem,results_absentee_tarvere,results_absentee_stovallv,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time,results_kellym,results_mcsallym,results_absentee_kellym,results_absentee_mcsallym
13083,Dade,7157,4945,6,7,Merged into voters' home precincts and released with cumulative results,96,7434,96%,96% reported,edison,10,all,,4573,,,3088,461,2063,134,238,204,48,218,126,77,158,41,29,72,42,32,29,54,25,18,,2098,376,1423,86,192,128,32,160,74,63,91,32,22,44,21,23,17,32,22,9,,2020-11-24T13:26:46Z,14.32164,R+14,Loeffler +14,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13085,Dawson,15853,13249,3,3,Released as a separate subtotal as first report of the night,99,16081,>98%,>98% reported,edison,10,unknown,,10581,,,5260,1506,7345,154,260,191,80,266,168,78,163,50,27,126,38,30,20,33,27,31,,4316,1385,6195,115,230,140,69,222,126,67,110,33,26,88,22,24,13,20,24,24,,2020-11-24T13:26:46Z,13.15208,R+13,Collins +13,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13089,DeKalb,367133,319201,191,191,Released with cumulative results periodically election night,99,370675,>98%,>98% reported,edison,10,unknown,,261315,,,34426,226498,20248,917,32941,1361,9516,12148,985,10349,1638,4461,2641,2090,1163,992,1283,790,1597,1089,,27633,205300,16528,679,27032,1020,7577,10304,717,8478,1223,3487,2147,1519,920,773,1045,563,1397,859,,2020-11-24T13:26:46Z,52.31674,D+52,Warnock +52,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13087,Decatur,11319,9077,9,9,Merged into voters' home precincts and released with cumulative results,97,11627,97%,97% reported,edison,10,unknown,,9618,,,2980,1738,2991,143,1429,206,297,391,116,357,126,124,74,54,63,56,25,47,79,23,,2366,1506,2359,103,1156,145,242,334,82,281,98,90,62,36,53,37,18,29,65,15,,2020-11-24T13:26:46Z,0.09718,R+0.10,Collins +0.10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13091,Dodge,7890,5021,14,16,Released as a precinct as first report of the night,98,8070,98%,98% reported,edison,10,all,,5826,,,2897,1421,2467,85,319,103,65,75,80,88,74,43,29,31,17,33,20,20,15,8,,1698,1058,1556,40,239,59,41,45,44,68,47,25,18,15,12,19,11,9,11,6,,2020-11-24T13:26:46Z,5.44994,R+5,Loeffler +5,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13093,Dooly,4005,3071,5,5,Released as a precinct as first report of the night,98,4105,98%,98% reported,edison,10,unknown,,3453,,,1041,1188,968,25,325,29,79,77,32,75,27,28,48,17,11,9,3,5,14,4,,811,917,777,14,229,20,57,55,20,51,20,20,33,14,8,5,3,3,13,1,,2020-11-24T13:26:46Z,3.67041,D+4,Warnock +4,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13095,Dougherty,34876,23170,28,28,None,99,35311,>98%,>98% reported,edison,10,unknown,,27832,,,5620,17214,4129,133,3021,186,830,853,129,1186,196,344,356,109,94,101,73,84,161,57,0,3385,12469,2556,60,1847,87,526,510,47,770,91,179,233,46,65,74,39,40,116,30,0,2020-11-24T13:26:46Z,33.24349,D+33,Warnock +33,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13097,Douglas,68441,57429,25,25,Merged into voters' home precincts and released with cumulative results,99,69097,>98%,>98% reported,edison,10,unknown,,54542,,,14011,29454,9146,325,5804,530,2143,1626,300,1946,448,710,466,375,200,207,175,159,223,193,,11560,26124,7547,220,4654,374,1698,1249,199,1533,319,514,374,227,141,147,138,103,176,132,,2020-11-24T13:26:46Z,22.56396,D+23,Warnock +23,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13099,Early,4969,3576,4,5,Other,96,5187,96%,96% reported,edison,10,all,,3645,,,1133,1005,1314,55,603,50,126,155,46,135,51,83,38,23,22,33,19,37,19,22,,808,777,951,36,414,28,94,119,25,100,32,53,29,14,13,24,9,25,16,9,,2020-11-24T13:26:46Z,3.64258,R+4,Collins +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13101,Echols,1381,1139,1,1,None,96,1441,96%,96% reported,edison,10,unknown,,886,,,558,36,508,24,43,49,10,25,33,21,18,9,2,4,11,13,4,2,6,5,,464,33,421,19,36,39,4,22,30,13,15,6,1,3,8,12,3,2,4,4,,2020-11-24T13:26:46Z,3.62056,R+4,Loeffler +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13103,Effingham,30974,21812,17,17,Merged into voters' home precincts and released with cumulative results,98,31624,98%,98% reported,edison,10,unknown,,15051,,,12742,4943,8019,439,1031,634,262,566,437,376,429,158,74,324,144,123,71,78,52,72,,8727,3845,5747,273,778,390,185,408,275,274,256,116,56,168,78,73,41,39,42,41,,2020-11-24T13:26:47Z,15.24827,R+15,Loeffler +15,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13105,Elbert,8981,6649,11,11,None,98,9171,98%,98% reported,edison,10,unknown,,7709,,,1526,1237,4223,74,585,136,223,279,118,182,93,78,57,33,26,22,19,22,30,18,,1055,1048,3054,51,464,86,169,225,76,137,58,64,47,16,19,16,14,9,26,15,,2020-11-24T13:26:47Z,30.03006,R+30,Collins +30,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
